gid,objectname,the_geom_text,geom_type,properties
26760,JL.GELATIC 01,"LINESTRING(117.462987400628 0.68916437989175,117.463097526341 0.689162302048106,117.463170250869 0.689174769109971,117.463215963429 0.68920801460828,117.463261675989 0.689251649324809,117.463299077175 0.68930567325956,117.463315699924 0.689368008568888,117.463326089142 0.689424110347283,117.46331362208 0.689555014496872,117.463200611696 0.689938372642163,117.463164113194 0.690236443737594,117.463148905485 0.690628802628517,117.463158030111 0.690917749098577,117.463287383158 0.692450859747734,117.463433414179 0.693255899693405,117.463626780782 0.694043178006457,117.463727990893 0.694848506467442,117.463797441992 0.695377403297191,117.463834776766 0.695602675947181,117.463892247544 0.695759762741058,117.463942055552 0.695824896289739,117.464007189101 0.69589002983842,117.464122130657 0.695951332001885,117.464558908572 0.696020296935782)",road,847.65
36306,JL. ROMA 15,"LINESTRING(117.460949428891 0.693129639389952,117.461011938908 0.691687198707835)",road,159.649
34050,JL. RO MERPATI 06,"LINESTRING(117.486146165373 0.698526841509115,117.486854000051 0.698569447488257,117.487462878478 0.698433471204039,117.488535832396 0.698214003357075,117.489755098213 0.698201810698911,117.490966229842 0.698372076796969,117.491705783546 0.698415072907336,117.493146781617 0.698863383418388,117.495922930115 0.69958680518128)",road,1111.616
36950,JL. RANGKONG 11,"LINESTRING(117.469726368972 0.708019780458005,117.469214822787 0.708021243977695,117.468746134699 0.708000254053525,117.468414799867 0.707874430699897,117.468223755592 0.70766227475733,117.46817693352 0.707365734966594,117.468137915126 0.706788262742528)",road,277.446
35393,JL. IN FRONT RANGKONG 01,"LINESTRING(117.468812001684 0.701043264378785,117.46885687817 0.701462364074497,117.468852344347 0.702146971456472,117.468725397282 0.702963059726376,117.468648322279 0.703556990633918,117.468527769228 0.704048433075891)",road,335.855
26771,JL. RO HASSANUDIN 3300,"LINESTRING(117.453148959463 0.603791810566691,117.451473138709 0.604401199931758)",road,198.338
31935,JL. RANGKONG 03,"LINESTRING(117.468812001684 0.701043264378785,117.468830445604 0.700374672295691,117.468784335805 0.699618471594812,117.468768952579 0.69924369172907,117.4686816336 0.698998785960546)",road,227.98
35957,JL. RO  BANGAU NEW 01,"LINESTRING(117.470180270342 0.706084217603388,117.47030116752 0.706077501093516,117.470455647247 0.706117800152748,117.470556394895 0.706326011958783,117.470628912173 0.707004251686733)",road,132.279
36951,JL. RANGKONG 02,"LINESTRING(117.468527769228 0.704048433075891,117.468137915126 0.706788262742528)",road,306.047
32275,JL. RO SAMARINDA 12,"LINESTRING(117.50187197091 0.724246762820455,117.501801188762 0.724394224648363,117.501539533247 0.724674479157746)",road,60.637
19357,JL. OSAKA 09,"LINESTRING(117.448501720838 0.703821230159146,117.448501720838 0.703821230159146)",road,0
